PROCESS_CONTROL_ID,TRANSACTION_CONTROL_ID,LOG_MESSAGE_STATUS,LOG_MESSAGE_DATE,LOG_MESSAGE_TEXT,CREATED_BY,CREATION_DATE,LAST_UPDATE_DATE,LAST_UPDATED_BY
155052,-6001,S,"2022-11-28 04:35:21","Employee Reported Time Process Started",HRDWCORPDATA@172.30.64.12,"2022-11-28 04:35:21","2022-11-28 04:35:21",HRDWCORPDATA@172.30.64.12
155053,-6001,I,"2022-11-28 04:41:01","nhrdw_tl_rptd_time - Rows Deleted: 152094",HRDWCORPDATA@172.30.64.12,"2022-11-28 04:41:01","2022-11-28 04:41:01",HRDWCORPDATA@172.30.64.12
155054,-6001,I,"2022-11-28 04:42:54","nhrdw_tl_rptd_time - Rows Inserted: 152255",HRDWCORPDATA@172.30.64.12,"2022-11-28 04:42:54","2022-11-28 04:42:54",HRDWCORPDATA@172.30.64.12
155055,-6001,S,"2022-11-28 04:42:54","Employee Reported Time Process Successfully Completed",HRDWCORPDATA@172.30.64.12,"2022-11-28 04:42:54","2022-11-28 04:42:54",HRDWCORPDATA@172.30.64.12
155056,-5001,E,"2022-11-28 04:45:45","Employee Payable Time Process Failed due to mismatch in the Records between ACAPRD and LABD",HRDWCORPDATA@172.30.64.12,"2022-11-28 04:45:45","2022-11-28 04:45:45",HRDWCORPDATA@172.30.64.12
155057,-12002,I,"2022-11-28 06:54:56","Refresh Staffing MSS Certificates :  Started",vcrawley@172.27.224.203,"2022-11-28 06:54:56","2022-11-28 06:54:56",vcrawley@172.27.224.203
155058,-12002,I,"2022-11-28 06:54:56","Refresh Staffing MSS Certificates :  Completed",vcrawley@172.27.224.203,"2022-11-28 06:54:56","2022-11-28 06:54:56",vcrawley@172.27.224.203
155059,-20001,I,"2022-11-28 07:00:00","Snapshot Refreshing ACAPRD Counts Started",event_scheduler@localhost,"2022-11-28 07:00:00","2022-11-28 07:00:00",event_scheduler@localhost
155060,-20001,I,"2022-11-28 07:01:30","Snapshot Refreshing ACAPRD Counts Completed",event_scheduler@localhost,"2022-11-28 07:01:30","2022-11-28 07:01:30",event_scheduler@localhost
155061,-20001,I,"2022-11-28 07:01:30","Refresh Ethnicity and Race",event_scheduler@localhost,"2022-11-28 07:01:30","2022-11-28 07:01:30",event_scheduler@localhost
155062,-20001,I,"2022-11-28 07:01:31","Refresh Employee Accomplishment",event_scheduler@localhost,"2022-11-28 07:01:31","2022-11-28 07:01:31",event_scheduler@localhost
155063,-8001,I,"2022-11-28 07:01:31","Refresh NHRDW_EMPLOYEE_ACCOMPLISHMENT - Started",event_scheduler@localhost,"2022-11-28 07:01:31","2022-11-28 07:01:31",event_scheduler@localhost
155064,-8001,I,"2022-11-28 07:01:33","Refresh NHRDW_EMPLOYEE_ACCOMPLISHMENT - Completed",event_scheduler@localhost,"2022-11-28 07:01:33","2022-11-28 07:01:33",event_scheduler@localhost
155065,-20001,I,"2022-11-28 07:01:33","Refresh SF50 Transaction",event_scheduler@localhost,"2022-11-28 07:01:33","2022-11-28 07:01:33",event_scheduler@localhost
